Nama,URL,Lokasi,Tipe Kuliner,Rasa,Suasana,Harga : Rasa,Pelayanan,Kebersihan,Jam Buka,Pembayaran,Fasilitas,Alamat,Telepon,Price per Person
"Union 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/union-senayan,Senayan , Barat,4.3,4.2,3.7,4.0,4.2,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo",WifiArea merokokBisa reservasiArea parkirAlkohol,"Plaza Senayan, Lantai 1, SOGOJl. Asia Afrika, Senayan, Jakarta Selatan","021 57905861,  021 57905862",Rp. 100.000 - Rp. 200.000 /orang
"Maison Feerie 
                [ Toko Roti dan Kue ]",https://pergikuliner.com/restaurants/surabaya/maison-feerie-wiyung,Wiyung , Toko Roti dan Kue,4.4,4.1,4.5,4.2,4.5,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",100% HalalArea parkir,"Pakuwon Mall, Lantai Lower GroundJl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",081338000830,Di bawah Rp. 50.000 /orang
"Lewis & Carroll Tea 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/lewis-dan-carroll-tea-blok-m,Blok M , Kafe,4.2,4.4,3.7,4.1,4.4,Senin - Minggu (08:00 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkir,"Jl. Bumi No. 4, Blok M, Kebayoran Baru, Jakarta Selatan",021 2702660,Rp. 100.000 - Rp. 200.000 /orang
"Paulaner Brauhaus 
                [ Jerman ]",https://pergikuliner.com/restaurants/jakarta/paulaner-brauhaus-thamrin,Thamrin , Jerman,4.4,4.2,3.5,4.2,4.3,"Senin - Kamis (11:30 - 24:00), Jumat - Sabtu (11:30 - 01:00), Minggu (11:30 - 24:00)","Tunai, Visa, Master, Debet",WifiArea merokokRuang VIPBisa reservasiArea parkirAlkohol,"Grand Indonesia Mall, Lantai 2, East MallJl. MH Thamrin, Thamrin, Jakarta Pusat","087775037505,  082123583871",Di atas Rp. 200.000 /orang
"Salad & Sushi 368 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/salad-dan-sushi-368-blok-m-2,Blok M , Jepang,4.8,3.5,4.9,4.4,4.1,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",100% HalalArea parkir,"Plaza Blok M, Lantai 6Jl. Bulungan No. 76, Blok M, Kebayoran Baru, Jakarta Selatan( Alamat Lama:Plaza Blok M, Lantai Ground, Jl. Bulungan No. 76, Blok M, Kebayoran Baru, Jakarta Selatan)",081319761868,Rp. 50.000 - Rp. 100.000 /orang
"Holycow! STEAKHOUSE by Chef Afit 
                [ Barat ]",https://pergikuliner.com/restaurants/surabaya/holycow-steakhouse-by-chef-afit-tegalsari-2,Tegalsari , Barat,4.7,4.1,4.2,4.4,4.4,Senin - Minggu (11:00 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Jl. Pregolan Bunder No. 44, Tegalsari, Surabaya( Alamat Lama:Jl. Pregolan No. 6, Tegalsari, Surabaya)","031 99253714,  087746590043",Di atas Rp. 200.000 /orang
"Ocean 8 Seafood & Dimsum Bar 
                [ China ]",https://pergikuliner.com/restaurants/jakarta/ocean-8-seafood-dan-dimsum-bar-pluit,Pluit , China,4.6,4.1,4.0,3.9,4.4,"Senin - Jumat (10:00 - 22:00), Sabtu - Minggu (07:00 - 22:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",Ruang VIPBisa reservasiArea parkirAlkohol,"Pluit Junction, Lantai GroundJl. Pluit Selatan Raya, Pluit, Penjaringan, Jakarta Utara","085192496146,  021 22675369",Rp. 100.000 - Rp. 200.000 /orang
"Dandy Co Bakery & Cafe 
                [ Toko Roti dan Kue ]",https://pergikuliner.com/restaurants/jakarta/dandy-co-bakery-dan-cafe-sunter,Sunter , Toko Roti dan Kue,4.4,4.3,4.4,4.3,4.6,Senin - Minggu (07:00 - 21:00),"Tunai, Debet",WifiArea parkir,"Ruko Griya Inti Sentosa, Blok A No. 16Jl. Griya Utama, Sunter, Jakarta Utara","021 22655683,  081381815007",Di bawah Rp. 50.000 /orang
"Kimukatsu 
                [ Jepang ]",https://pergikuliner.com/restaurants/depok/kimukatsu-cimanggis,Cimanggis , Jepang,4.4,4.3,4.2,3.8,4.4,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",100% HalalBisa reservasiArea parkir,"Trans Studio Mall Cibubur, Lantai 3Jl. Raya Alternatif Cibubur No. 230, Cimanggis, Depok",021 39715605,Rp. 50.000 - Rp. 100.000 /orang
"La Isola 
                [ Kafe ]",https://pergikuliner.com/restaurants/bogor/la-isola-bogor-selatan,Bogor Selatan , Kafe,4.3,4.4,4.2,4.1,4.2,Senin - Minggu (08:00 - 21:00),"Tunai, Debet",WifiPesan antarArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkir,"Jl. Batu Tulis No. 45, Bogor Selatan, Bogor",082214746871,Rp. 50.000 - Rp. 100.000 /orang
"Cap Dangu 
                [ Kafe ]",https://pergikuliner.com/restaurants/bandung/cap-dangu-dago-atas,Dago Atas , Kafe,4.0,4.7,3.9,4.4,4.3,Senin - Minggu (08:00 - 22:00),Tunai,100% Halal,"Jl. Tubagus Ismail VIII No. 45, Dago Atas, Bandung",,Di bawah Rp. 50.000 /orang
"Ganesha Ek Sanskriti 
                [ India ]",https://pergikuliner.com/restaurants/jakarta/ganesha-ek-sanskriti-kemang,Kemang , India,4.4,4.3,3.8,4.6,4.2,"Senin - Kamis (11:00 - 22:30), Jumat - Sabtu (11:00 - 23:00), Minggu (11:00 - 22:30)","Tunai, Visa, Master, Debet",WifiArea merokok100% HalalBisa reservasiArea parkirAlkohol,"Kemang Square, Lantai 2Jl. Kemang Raya No. 3A, Kemang, Jakarta Selatan","021 7196837,  021 7196836",Rp. 100.000 - Rp. 200.000 /orang
"Matcha Bae 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/matcha-bae-kelapa-gading,Kelapa Gading , Kafe,4.5,3.9,4.0,4.2,4.2,"Selasa - Minggu (10:00 - 20:00), Senin Tutup","Tunai, Go-pay, Ovo, Dana",Wifi100% HalalBisa reservasi,"Jl. Kelapa Hibrida Raya Blok QJ9 No. 37, Kelapa Gading, Jakarta Utara",085693710126,Di bawah Rp. 50.000 /orang
"Tokyo Belly 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/tokyo-belly-kuningan,Kuningan , Jepang,4.3,4.1,4.1,4.4,4.1,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",Wifi100% HalalArea parkir,"Kuningan City, Lantai GroundJl. Prof Dr Satrio, Kuningan, Jakarta Selatan",021 50116010,Rp. 50.000 - Rp. 100.000 /orang
"Maketh Coffee & Eatery 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/maketh-coffee-dan-eatery-sunter,Sunter , Kafe,4.1,4.4,3.7,4.0,4.3,"Senin - Kamis (10:00 - 20:00), Jumat - Minggu (10:00 - 21:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",WifiArea merokok100% HalalArea parkir,"Jl. Danau Agung II Blok C18 No. 15A, Sunter, Jakarta Utara",081299899160,Rp. 50.000 - Rp. 100.000 /orang
"Waroeng Pati Surabaya - Deka Hotel 
                [ Indonesia ]",https://pergikuliner.com/restaurants/surabaya/waroeng-pati-surabaya-deka-hotel-dukuh-pakis,Dukuh Pakis , Indonesia,4.7,4.7,4.5,4.5,4.5,Senin - Minggu (08:00 - 21:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Deka HotelJl. HR Muhammad No. 24, Dukuh Pakis, Surabaya",031 7310010,Rp. 50.000 - Rp. 100.000 /orang
"Sabi Coffee & Eatery 
                [ Kafe ]",https://pergikuliner.com/restaurants/tangerang/sabi-coffee-dan-eatery-bsd,BSD , Kafe,4.7,4.7,4.5,4.5,4.5,Senin - Minggu (07:00 - 22:00),"Tunai, Debet, Go-pay, Ovo, Dana",WifiPesan antarArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Jl. Rawa Buntu Selatan Blok F2 No. 12, BSD, Serpong, Tangerang Selatan","089603500616,  0895613303823",Rp. 50.000 - Rp. 100.000 /orang
"Umaku Sushi 
                [ Jepang ]",https://pergikuliner.com/restaurants/tangerang/umaku-sushi-bintaro,Bintaro , Jepang,4.8,3.5,4.6,3.8,4.1,"Selasa - Minggu (11:00 - 22:00), Senin Tutup","Tunai, Visa, Master, Debet",100% HalalArea parkir,"Ruko Sentra Menteng, Blok MN No. 1Jl. Dr. Sam Ratulangi (Bintaro Sektor 7), Bintaro, Tangerang Selatan",081212123153,Rp. 50.000 - Rp. 100.000 /orang
"Rumah Sanetti 
                [ Indonesia,Barat ]",https://pergikuliner.com/restaurants/depok/rumah-sanetti-sukmajaya,Sukmajaya ," Indonesia,Barat",4.2,4.5,4.2,4.4,4.7,Senin - Minggu (07:30 - 22:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",WifiArea merokok100% HalalRuang VIPBisa reservasiArea parkir,"Grand Depok CityJl. Boulevard Grand Depok City, Sukmajaya, Depok","021 77846770,  08124567880",Rp. 50.000 - Rp. 100.000 /orang
"Midori Coffee 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/midori-coffee-menteng,Menteng , Kafe,4.2,4.3,4.4,4.6,4.6,Senin - Minggu (10:00 - 21:00),"Tunai, Visa, Master, Debet, Go-pay",WifiArea merokok100% HalalArea parkir,"Jl. KH Wahid Hasyim No. 106, Menteng, Jakarta Pusat",085813366209,Di bawah Rp. 50.000 /orang
"Remboelan 
                [ Indonesia ]",https://pergikuliner.com/restaurants/bekasi/remboelan-bekasi-utara,Bekasi Utara , Indonesia,4.4,4.9,4.0,4.7,4.6,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Summarecon Mall Bekasi, Lantai Ground, Downtown WalkJl. Ahmad Yani, Bekasi Utara, Bekasi",021 29572338,Rp. 50.000 - Rp. 100.000 /orang
"Starbucks 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/starbucks-hayam-wuruk-2,Hayam Wuruk , Kafe,4.2,4.3,3.7,4.2,4.2,24 Jam,"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor24 Jam100% HalalArea parkir,"Jl. Hayam Wuruk (Dekat Harmoni Exchange), Hayam Wuruk, Jakarta Pusat",021 3504060,Rp. 50.000 - Rp. 100.000 /orang
"Vong Kitchen - Alila Hotel SCBD 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/vong-kitchen-alila-hotel-scbd-scbd,SCBD , Barat,4.3,4.5,3.9,4.3,4.4,Senin - Minggu (06:00 - 24:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoorBisa reservasiArea parkirAlkohol,"Alila Hotel SCBD, Lantai LobbyJl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",021 50808787,Di atas Rp. 200.000 /orang
"The RR Chocolate 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/the-rr-chocolate-senopati,Senopati , Kafe,4.3,4.5,3.6,4.5,4.5,Senin - Minggu (09:00 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Jl. Senopati No. 23, Senopati, Kebayoran Baru, Jakarta Selatan","021 39702229,  081285383311",Rp. 100.000 - Rp. 200.000 /orang
"Cwims 
                [ Indonesia ]",https://pergikuliner.com/restaurants/jakarta/cwims-tebet,Tebet , Indonesia,4.3,4.1,4.1,4.4,4.5,Senin - Minggu (08:00 - 22:00),"Tunai, Debet, Go-pay, Ovo, Dana",Area merokokArea outdoor100% HalalArea parkir,"Jl. Tebet Raya No. 52B, Tebet, Jakarta Selatan",085939414831,Di bawah Rp. 50.000 /orang
"Kimukatsu 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/kimukatsu-kelapa-gading,Kelapa Gading , Jepang,4.1,4.1,4.1,4.3,4.4,"Senin - Jumat (11:00 - 20:00), Sabtu - Minggu (11:00 - 21:00)","Tunai, Visa, Master, Debet",100% HalalArea parkir,"Mal Kelapa Gading 3, Lantai 3Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",021 45853634,Rp. 50.000 - Rp. 100.000 /orang
"Cafe Phyto Organic 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/cafe-phyto-organic-kebon-jeruk,Kebon Jeruk , Kafe,4.1,4.1,4.3,4.3,4.3,Senin - Minggu (07:00 - 19:00),"Tunai, Debet, Go-pay, Ovo",Area merokokArea outdoor100% HalalArea parkir,"Jl. Surya Mandala No. 10, Kebon Jeruk, Jakarta Barat( Alamat Lama:Ruko The Plaza, No. 9AP - AR, Jl. Pantai Indah Utara II, Pantai Indah Kapuk, Penjaringan, Jakarta Utara)",089629930817,Di bawah Rp. 50.000 /orang
"Arts Cafe - Raffles Jakarta Hotel 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/arts-cafe-raffles-jakarta-hotel-karet-kuningan,Karet Kuningan , Barat,4.0,4.4,3.5,4.3,4.5,"Senin - Sabtu (07:00 - 10:00, 12:00 - 14:30, 17:30 - 20:00), Minggu (12:00 - 15:00)","Tunai, Visa, Master, Debet",WifiRuang VIPBisa reservasiArea parkirAlkohol,"Raffles Jakarta Hotel, Lantai 1Jl. Prof Dr Satrio No. 3 - 5, Karet Kuningan, Setiabudi, Jakarta Selatan",08558155888,Di atas Rp. 200.000 /orang
"Tucano's Churrascaria Brazilian BBQ & Buffet 
                [ Brasil ]",https://pergikuliner.com/restaurants/jakarta/tucano-s-churrascaria-brazilian-bbq-dan-buffet-senayan,Senayan , Brasil,4.2,4.4,3.7,4.4,4.2,Senin - Minggu (11:00 - 22:00),"Tunai, Visa, Master, Debet, Go-pay",WifiArea merokok100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Senayan City, Lantai Lower GroundJl. Asia Afrika, Senayan, Jakarta Selatan","021 72781035,  087822000808",Di atas Rp. 200.000 /orang
"Twelve Chinese Dining 
                [ China ]",https://pergikuliner.com/restaurants/jakarta/twelve-chinese-dining-menteng,Menteng , China,3.9,4.8,3.6,4.3,4.4,"Senin - Jumat (11:00 - 22:00), Sabtu - Minggu (10:00 - 22:00)","Tunai, Visa, Master, Debet",WifiArea merokokRuang VIPBisa reservasiArea parkirAlkohol,"Jl. Dr. Kusuma Atmaja No. 75, Menteng, Jakarta Pusat","021 21237040,  081212124502",Rp. 100.000 - Rp. 200.000 /orang
"LOVEster Shack 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/lovester-shack-pondok-indah,Pondok Indah , Barat,4.5,4.0,3.9,4.3,4.3,Senin - Minggu (10:00 - 21:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Jl. Terogong Raya No. 36, Pondok Indah, Jakarta Selatan",081280606036,Rp. 100.000 - Rp. 200.000 /orang
"Kongkow Coffee & Eatery 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/kongkow-coffee-dan-eatery-gandaria,Gandaria , Kafe,4.1,4.2,3.9,4.4,4.3,Senin - Minggu (09:00 - 21:00),"Tunai, Debet, Go-pay, Ovo, Dana",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Jl. Gandaria I No. 59A, Gandaria, Jakarta Selatan",087878770910,Rp. 50.000 - Rp. 100.000 /orang
"KOI The 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/koi-the-thamrin,Thamrin , Kafe,4.3,4.0,4.0,3.9,4.0,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",100% HalalArea parkir,"Grand Indonesia Mall, Lantai 3A, West MallJl. MH Thamrin, Thamrin, Jakarta Pusat",021 23580995,Di bawah Rp. 50.000 /orang
"Black Campaign Coffee 
                [ Kafe ]",https://pergikuliner.com/restaurants/tangerang/black-campaign-coffee-kota-tangerang-2,Kota Tangerang , Kafe,4.4,4.4,4.2,4.1,4.2,"Senin - Jumat (09:00 - 21:00), Sabtu - Minggu (08:00 - 21:00)","Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Jl. MT Haryono No. 5, Kota Tangerang, Tangerang( Alamat Lama:Jl. Kalipasir Indah No. 67, Kota Tangerang, Tangerang)",081932209871,Rp. 50.000 - Rp. 100.000 /orang
"Kopi Dari Hati 
                [ Kafe ]",https://pergikuliner.com/restaurants/bekasi/kopi-dari-hati-bekasi-utara-2,Bekasi Utara , Kafe,4.0,4.3,4.3,4.4,4.3,"Senin - Sabtu (09:00 - 22:00), Minggu (13:00 - 22:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",WifiArea merokok100% HalalBisa reservasiArea parkir,"Ruko Burgundy Orchard Summarecon, Blok RAL No. 29Jl. Perjuangan, Bekasi Utara, Bekasi",088295530772,Di bawah Rp. 50.000 /orang
"Ramen SeiRock-Ya 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/ramen-seirock-ya-gandaria,Gandaria , Jepang,4.6,3.6,4.1,4.3,4.0,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkir,"Jl. KH Ahmad Dahlan No. 22A, Gandaria, Jakarta Selatan( Alamat Lama:Jl. Radio Dalam Raya No. 9, Radio Dalam, Kebayoran Baru, Jakarta Selatan)",021 27088644,Rp. 50.000 - Rp. 100.000 /orang
"Canabeans 
                [ Kafe ]",https://pergikuliner.com/restaurants/tangerang/canabeans-alam-sutera,Alam Sutera , Kafe,4.0,4.4,3.9,4.1,4.2,Senin - Minggu (07:00 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkir,"Brooklyn Alam Sutera Apartemen & SohoJl. Alam Sutera Boulevard, Alam Sutera, Serpong, Tangerang Selatan","021 80821640,  085960282352",Rp. 100.000 - Rp. 200.000 /orang
"Custom Coffee Garage 
                [ Kafe ]",https://pergikuliner.com/restaurants/bandung/custom-coffee-garage-aceh,Aceh , Kafe,4.6,4.0,4.3,4.4,3.4,"Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 22:30), Minggu (10:00 - 22:00)","Tunai, Debet",Area merokokArea outdoor100% Halal,"Pasar Besi Kebon SirihJl. Aceh No. 24A, Aceh, Bandung",Tidak Ada No Telepon,Di bawah Rp. 50.000 /orang
"Tatei Cafe 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/tatei-cafe-cengkareng,Cengkareng , Kafe,4.2,4.3,4.2,4.0,4.3,Senin - Minggu (11:00 - 21:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Ruko Food City, No. 22, Green Lake CityJl. West Europe Boulevard, Cengkareng, Jakarta Barat","021 22301059,  081212349883",Rp. 50.000 - Rp. 100.000 /orang
"Gloomy Coffee & Eatery 
                [ Kafe ]",https://pergikuliner.com/restaurants/bekasi/gloomy-coffee-dan-eatery-medan-satria-2,Medan Satria , Kafe,4.3,4.5,3.9,4.1,4.2,"Senin - Kamis (09:00 - 23:00), Jumat (09:00 - 24:00)","Tunai, Master, Debet, Go-pay, Ovo",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Ruko Cemara, Blok U7 No. 7Jl. Raya Grand Boulevard, Medan Satria, Bekasi( Alamat Lama:Shabu Yoi, Lantai 2, Kota Harapan Indah, Ruko Mega Boulevard, Blok RV2 No. 8E, Jl. Harapan Indah Boulevard, Medan Satria, Bekasi)",085953934471,Di bawah Rp. 50.000 /orang
"Cutt & Grill 
                [ Barat ]",https://pergikuliner.com/restaurants/tangerang/cutt-dan-grill-alam-sutera,Alam Sutera , Barat,4.3,4.7,3.9,4.7,4.6,"Senin - Jumat (11:30 - 22:00), Sabtu (11:30 - 23:00), Minggu (11:30 - 22:00)","Tunai, Visa, Master, Debet",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Flavor BlissJl. Alam Sutera Boulevard, Alam Sutera, Serpong, Tangerang Selatan",08119463992,Di atas Rp. 200.000 /orang
"Kenangan Heritage 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/kenangan-heritage-senayan,Senayan , Kafe,4.1,4.5,3.9,4.3,4.5,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokok100% HalalBisa reservasiArea parkir,"Senayan City, Lantai GroundJl. Asia Afrika, Senayan, Jakarta Selatan",08170994110,Rp. 50.000 - Rp. 100.000 /orang
"Kyo Coffee 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/kyo-coffee-makasar,Makasar , Kafe,4.1,4.5,3.9,4.3,4.5,"Selasa - Kamis (07:00 - 18:00), Jumat (13:00 - 21:00), Sabtu (07:00 - 21:00), Minggu (07:00 - 18:00), Senin Tutup","Tunai, Visa, Master, Debet",Area merokokArea outdoor100% HalalArea parkir,"Jl. Wirajasa Blok ZN No. 1, Makasar, Jakarta Timur",081212844322,Di bawah Rp. 50.000 /orang
"August 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/august-scbd,SCBD , Barat,4.8,4.3,4.3,4.8,4.7,"Selasa - Minggu (17:30 - 22:30), Senin Tutup","Tunai, Visa, Master, Debet",WifiArea merokokRuang VIPBisa reservasiArea parkirAlkohol,"Sequis Tower, Lantai GroundJl. Jenderal Sudirman Kav. 71, SCBD, Kebayoran Baru, Jakarta Selatan",087738000808,Di atas Rp. 200.000 /orang
"Carl's Jr. 
                [ Barat ]",https://pergikuliner.com/restaurants/jakarta/carl-s-jr-senopati,Senopati , Barat,4.7,4.7,4.3,4.5,4.7,Senin - Minggu (08:00 - 22:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo",WifiArea merokokArea outdoor100% HalalArea parkir,"Jl. Senopati No. 52, Senopati, Kebayoran Baru, Jakarta Selatan",021 27093282,Rp. 50.000 - Rp. 100.000 /orang
"Kintaro Sushi 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/kintaro-sushi-senopati,Senopati , Jepang,4.1,4.4,3.6,4.1,4.3,Senin - Minggu (11:00 - 22:00),"Tunai, Visa, Master, Debet",WifiRuang VIPBisa reservasiArea parkirAlkohol,"Jl. Suryo No. 20, Senopati, Kebayoran Baru, Jakarta Selatan","021 22773705,  021 22773338,  081717170366",Rp. 100.000 - Rp. 200.000 /orang
"Sushimas 
                [ Jepang ]",https://pergikuliner.com/restaurants/bekasi/sushimas-bekasi-selatan,Bekasi Selatan , Jepang,4.3,3.9,4.5,4.3,4.3,Senin - Minggu (11:00 - 22:00),Tunai,100% HalalBisa reservasiArea parkir,"Grand Galaxy CityJl. Pulo Ribung No. 21, Bekasi Selatan, Bekasi",087888799615,Rp. 50.000 - Rp. 100.000 /orang
"Tom's by Tom Aikens - Hotel The Langham Jakarta 
                [ Italia,Barat ]",https://pergikuliner.com/restaurants/jakarta/tom-s-by-tom-aikens-hotel-the-langham-jakarta-scbd,SCBD ," Italia,Barat",4.0,4.6,3.8,4.3,4.7,"Senin - Minggu (06:30 - 10:30, 12:00 - 23:30)","Tunai, Visa, Master, Debet",WifiRuang VIPBisa reservasiArea parkirAlkohol,"Hotel The Langham Jakarta, Lantai 62Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan","021 27087888,  085883888885",Di atas Rp. 200.000 /orang
"Tucano's Churrascaria Brazilian BBQ & Buffet 
                [ Brasil ]",https://pergikuliner.com/restaurants/tangerang/tucano-s-churrascaria-brazilian-bbq-dan-buffet-gading-serpong,Gading Serpong , Brasil,4.1,4.4,3.8,4.6,4.6,Senin - Minggu (11:00 - 22:00),"Tunai, Visa, Master, Debet",Wifi100% HalalBisa reservasiArea parkir,"Summarecon Mall Serpong, Lantai 2Jl. Gading Serpong Boulevard, Gading Serpong, Serpong, Tangerang","021 29171048,  087880011008",Di atas Rp. 200.000 /orang
"Labuan Senja 
                [ Kafe ]",https://pergikuliner.com/restaurants/bogor/labuan-senja-bogor-utara,Bogor Utara , Kafe,4.1,4.6,4.1,4.1,4.3,Senin - Minggu (08:00 - 22:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",WifiArea merokokArea outdoor100% HalalBisa reservasiArea parkir,"Jl. Achmad Sobana (Bangbarung Raya) No. 36, Bogor Utara, Bogor",082122832501,Di bawah Rp. 50.000 /orang
"Sushi Hiro 
                [ Jepang ]",https://pergikuliner.com/restaurants/jakarta/sushi-hiro-senopati,Senopati , Jepang,4.3,4.4,3.6,3.9,4.3,Senin - Minggu (10:00 - 22:00),"Tunai, Visa, Master, Debet",WifiRuang VIPArea parkirAlkohol,"Jl. Suryo No. 24, Senopati, Kebayoran Baru, Jakarta Selatan","021 72800108,  081384173341",Rp. 100.000 - Rp. 200.000 /orang
"Braga Permai 
                [ Indonesia,Barat,Belanda ]",https://pergikuliner.com/restaurants/bandung/braga-permai-braga,Braga ," Indonesia,Barat,Belanda",4.2,4.3,3.9,4.1,4.1,"Senin - Jumat (08:00 - 24:00), Sabtu - Minggu (07:00 - 24:00)","Tunai, Visa, Master, Debet, Go-pay, Ovo, Dana",WifiArea merokokArea outdoor100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Jl. Braga No. 58, Braga, Bandung","022 4233778,  082219751875",Rp. 100.000 - Rp. 200.000 /orang
Cafe Bromo - Sheraton Surabaya Hotel & Towers,https://pergikuliner.com/restaurants/surabaya/cafe-bromo-sheraton-surabaya-hotel-dan-towers-tegalsari,,,5.0,5.0,4.3,5.0,5.0,Senin - Minggu (06:00 - 22:00),"Tunai, Visa, Master, Debet",WifiRuang VIPBisa reservasiArea parkirAlkohol,"Sheraton Surabaya Hotel & TowersJl. Embong Malang No. 25 - 31, Tegalsari, Surabaya",031 5468000,Rp. 100.000 - Rp. 200.000 /orang
"Ssst Coffee 
                [ Kafe ]",https://pergikuliner.com/restaurants/bandung/ssst-coffee-buah-batu,Buah Batu , Kafe,4.4,3.8,4.2,4.6,4.2,Senin - Minggu (08:00 - 21:00),"Tunai, Debet, Go-pay",WifiArea merokokArea outdoor100% Halal,"Jl. Kliningan II No. 1, Buah Batu, Bandung",Tidak Ada No Telepon,Di bawah Rp. 50.000 /orang
"Hygge Bistro 
                [ Kafe ]",https://pergikuliner.com/restaurants/jakarta/hygge-bistro-cengkareng,Cengkareng , Kafe,4.2,4.3,4.0,4.1,4.2,Senin - Minggu (10:00 - 21:00),"Tunai, Visa, Master, Debet, Go-pay, Ovo",WifiArea merokokArea outdoorBisa reservasiArea parkirAlkohol,"Green Sedayu Mall, Lantai GroundJl. Taman Palem Lestari No. 1, Cengkareng, Jakarta Barat",082141021681,Rp. 50.000 - Rp. 100.000 /orang
"Bilbao Brasserie 
                [ Barat ]",https://pergikuliner.com/restaurants/bandung/bilbao-brasserie-riau,Riau , Barat,4.1,4.6,3.7,4.0,4.5,Senin - Minggu (07:30 - 22:00),"Tunai, Visa, Master, Debet",WifiArea merokok100% HalalRuang VIPBisa reservasiArea parkirAlkohol,"Jl. Cimanuk No. 12, Riau, Bandung","022 4240655,  082217388117",Rp. 50.000 - Rp. 100.000 /orang
